,,Population,No schooling,Primary school,Junior high school,Senior high school,Some college,Master and higher
全国,National Average,7599316,124249,1370761,3920291,1268966,876803,38246
北京,Beijing,588689,5881,60585,255604,113364,143044,10211
天津,Tianjin,174948,2423,26972,96389,27136,21303,725
河北,Hebei,120833,2348,23653,54568,18543,21080,641
山西,Shanxi,73236,1322,14718,37710,10606,8588,292
内蒙古,Inner Mongolia,113655,4375,25931,56960,15447,10648,294
辽宁,Liaoning,160031,2284,31950,80652,19982,23958,1205
吉林,Jilin,41405,712,7192,16395,5281,11315,510
黑龙江,Heilongjiang,44332,1203,8807,18526,4897,10521,378
上海,Shanghai,819778,17671,129220,414529,137795,112999,7564
江苏,Jiangsu,649338,11176,126416,344399,108585,56173,2589
浙江,Zhejiang,1146174,23547,307089,638441,127348,48230,1519
安徽,Anhui,59440,1812,10760,24633,9649,12122,464
福建,Fujian,361759,5278,88195,205394,44093,18111,688
江西,Jiangxi,46799,611,6198,14597,7068,17984,341
山东,Shandong,180047,4094,29631,76182,38020,31323,797
河南,Henan,48723,1003,7413,20092,9556,10289,370
湖北,Hubei,84024,1740,13942,30917,13959,22378,1088
湖南,Hunan,53391,603,7417,19391,10473,14998,509
广东,Guangdong,2020912,13411,260116,1179253,416141,149072,2919
广西,Guangxi,67525,1119,12228,29612,13079,10991,496
海南,Hainan,49940,797,9158,19972,9181,10623,209
重庆,Chongqing,82004,1724,16557,27874,15417,19764,668
四川,Sichuan,99417,2184,18274,33689,19006,24963,1301
贵州,Guizhou,66444,1928,17218,30892,9683,6422,301
云南,Yunan,95258,2618,28708,42324,13139,8137,332
西藏,Tibet,14735,917,3636,6692,2359,1108,23
陕西,Shaanxi,84586,1023,10223,30043,14604,27701,992
甘肃,Gansu,37454,970,7053,15208,6579,7279,365
青海,Qinghai,25757,1374,6009,11454,4065,2743,112
宁夏,Ningxia,32629,1180,8029,15490,4454,3394,82
新疆,Xinjiang,156053,6921,47463,72409,19457,9542,261
