,,Population,No schooling,Primary school,Junior high school,Senior high school,Some college,Master and higher,
全国,National Average,15647272,356050,2582724,5365574,3860482,3355221,127221,
北京,Beijing,318121,4441,22329,52589,72252,143271,23239,
天津,Tianjin,177616,3091,16884,45696,49499,59553,2893,
河北,Hebei,625594,8903,84339,208145,184032,137258,2917,
山西,Shanxi,528402,6986,84108,213378,138292,83761,1877,
内蒙古,Inner Mongolia,518049,18550,102408,198948,106075,90085,1983,
辽宁,Liaoning,709271,8163,88009,288384,149134,168787,6794,
吉林,Jilin,372784,5635,54265,140740,93118,76232,2794,
黑龙江,Heilongjiang,454683,9266,82636,192654,84248,83164,2715,
上海,Shanghai,352960,7659,29504,78396,96727,127843,12831,
江苏,Jiangsu,981764,18926,127615,339683,244153,242260,9127,
浙江,Zhejiang,746780,27402,144731,223097,178979,167315,5256,
安徽,Anhui,586573,23600,101115,207062,133730,117846,3220,
福建,Fujian,595585,12250,123459,208385,134313,114398,2780,
江西,Jiangxi,410403,9398,86031,144616,92916,75791,1651,
山东,Shandong,996663,17424,123620,319242,272594,256027,7756,
河南,Henan,796526,12144,102708,240085,246021,191154,4414,
湖北,Hubei,699795,15677,96837,244798,189176,148351,4956,
湖南,Hunan,595013,7216,95777,199200,157042,132652,3126,
广东,Guangdong,1462815,19550,220090,573127,385750,255092,9206,
广西,Guangxi,467272,7918,84685,171093,118904,83090,1582,
海南,Hainan,111197,2176,17479,44532,29920,16735,355,
重庆,Chongqing,404796,9737,85379,136899,99153,71473,2155,
四川,Sichuan,946448,30024,205282,325038,215114,166472,4518,
贵州,Guizhou,350081,16719,99130,122224,62445,48709,854,
云南,Yunan,387621,16800,104698,118519,82646,63188,1770,
西藏,Tibet,8341,2133,2956,1215,681,1349,7,
陕西,Shaanxi,428305,8571,64128,139285,105225,107388,3708,
甘肃,Gansu,214081,8200,39015,64655,56717,44255,1239,
青海,Qinghai,72677,7465,19681,18324,13986,12989,232,
宁夏,Ningxia,104150,5061,25903,35755,20624,16495,312,
新疆,Xinjiang,222906,4965,47923,69810,47016,52238,954,
