,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,,Liaoning,Jilin,Heilongjiang,,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,,Chongqing,Sichuan,Guizhou,Yunan,Tibet,,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,,
Beijing,,83050,1559016,268506,236088,,247843,213990,403287,,18245,194997,126071,430096,95900,141197,597737,,979741,334516,152153,70783,31196,8293,,85654,325313,38914,27578,1499,,164559,143265,11361,17833,35852,,7044533
Tianjin,22731,,754466,101485,85171,,81930,101541,194113,,5214,72313,43254,138998,29491,33762,505129,,331307,108382,34127,19261,8927,2615,,27125,108996,17276,11201,1181,,63614,64184,7451,6467,9789,,2991501
Hebei,74697,65019,,57965,102610,,75003,59564,196431,,2339,36932,32221,62742,20034,20274,89303,,181149,62297,25005,9170,8678,2895,,23944,83144,17858,14957,862,,44276,20102,5047,3555,6600,,1404673
Shanxi,6850,5671,138172,,78775,,13464,11308,16195,,1189,35076,26610,45524,21604,11886,46963,,197438,48174,17815,5888,3990,1659,,20767,79274,11754,12713,211,,56292,11219,1980,1299,1893,,931653
Inner Mongolia,6662,6804,183926,156745,,,73364,63894,142986,,851,33276,22885,37106,15357,14863,68290,,103645,35317,15542,5098,3216,884,,15202,86557,9525,7283,178,,141982,141901,4867,43225,2750,,1444181
,110940,160544,2635580,584701,502644,4348546,491604,450297,953012,1894913,27838,372594,251041,714466,182386,221982,1307422,3077729,1793280,588686,244642,110200,56007,16346,2809161,172692,683284,95327,73732,3931,1028966,470723,380671,30706,72379,56884,1011363,
Liaoning,8928,8384,69162,16797,179980,,,300028,569555,,3596,44140,30288,75000,19760,13284,119513,,122054,35281,16744,10760,3951,1708,,21540,68727,8125,5540,922,,15177,8505,2934,1680,4467,,1786530
Jilin,4132,3691,20428,5745,34743,,63868,,130578,,1589,14266,13593,19642,7098,5034,44538,,25648,14764,5888,3663,1739,1645,,3616,14570,2194,2404,228,,4450,2636,1234,726,2149,,456499
Heilongjiang,7961,5235,27082,6862,52542,,57616,120545,,,2508,19040,12339,23337,7560,7041,62131,,25240,16974,7388,4738,2328,1720,,5092,12873,3268,2628,194,,5017,3958,862,752,1566,,506397
,21021,17310,116672,29404,267265,451672,121484,420573,700133,1242190,7693,77446,56220,117979,34418,25359,226182,545297,172942,67019,30020,19161,8018,5073,302233,30248,96170,13587,10572,1344,151921,24644,15099,5030,3158,8182,56113,
Shanghai,22843,12768,67497,45048,23737,,62868,58851,98574,,,1503522,450506,2602273,263790,487192,378404,,782553,407747,228544,79348,49241,9451,,227653,624465,148084,69992,1136,,126155,94798,11264,9893,28803,,8977000
Jiangsu,14117,8785,83969,50963,20694,,36558,40200,69214,,82612,,268489,2574625,138615,264814,410813,,1016424,400715,203041,44584,45570,5845,,178765,650575,275505,141091,1837,,206894,101709,13807,6988,21435,,7379253
Zhejiang,8054,5595,42158,25344,14437,,28236,32412,55310,,38525,341618,,2285198,163702,1529896,185417,,1224230,898618,749699,46522,139125,5751,,592942,1240580,1499220,411088,1084,,168197,62147,8190,5822,14860,,11823977
Anhui,4372,2810,21318,8816,4746,,7484,7269,9464,,20773,114421,61431,,28855,39952,34391,,96612,48051,32399,12738,8074,2270,,16174,43819,32875,28538,715,,15787,6422,2873,925,3089,,717463
Fujian,3936,3373,16751,10351,5407,,12624,12063,20135,,4863,41172,69114,250267,,948654,42937,,277933,340054,234580,51299,69962,9030,,409644,822445,472000,98241,624,,56319,18055,2540,4408,4821,,4313602
Jiangxi,3194,2427,14568,12391,8857,,6823,4979,5275,,8354,25673,47102,51294,44554,,18685,,40997,52502,68386,36268,19775,6543,,13788,34524,33869,10679,524,,10439,9461,2375,2442,3194,,599942
Shandong,13104,12762,142422,54008,78671,,78808,186138,408047,,5700,138354,61734,130067,37201,31113,,,284866,78308,32499,16152,8783,3335,,24030,85919,24392,44471,1099,,48494,41470,12614,7444,23588,,2115593
,69620,48520,388683,206921,156549,870293,233401,341912,666019,1241332,160827,2164760,958376,7893724,676717,3301621,1070647,16226672,3723615,2225995,1549148,286911,340530,42225,8168424,1462996,3502327,2485945,804100,7019,8262387,632285,334062,53663,37922,99790,1157722,
Henan,6863,4674,38663,36250,7851,,8996,8437,14519,,3670,31668,33679,61209,20286,19261,49067,,,60084,24661,16888,7194,3145,,14346,39356,11227,8826,1309,,29910,12010,7212,2441,8432,,592134
Hubei,6544,4289,26003,15543,10623,,8872,6408,9540,,5253,37838,56718,60119,37293,57905,30327,,189654,,98208,40400,20337,8120,,111695,74040,23283,16514,1280,,27273,12767,4695,2664,9407,,1013612
