case,home,residence,home_locals,migrants,residence_locals
1,Anhui,Anhui,855.9056,1670.769,855.9056
3,Anhui,Guangdong,855.9056,1804.545,1030.401
4,Anhui,Henan,855.9056,657.8947,663.8652
5,Anhui,Hubei,855.9056,940,760.3815
6,Anhui,Jiangsu,855.9056,1706.971,1297.297
7,Anhui,Shanghai,855.9056,1732.846,2306.554
8,Anhui,Zhejiang,855.9056,1594.126,1358.648
9,Chongqing,Chongqing,692.8837,1220,692.8837
10,Chongqing,Guangdong,692.8837,1374.286,1030.401
11,Chongqing,Henan,692.8837,833.3333,663.8652
12,Chongqing,Hubei,692.8837,1322.667,760.3815
13,Chongqing,Jiangsu,692.8837,1500,1297.297
14,Chongqing,Shanghai,692.8837,1575,2306.554
15,Chongqing,Sichuan,692.8837,1850,777.0446
16,Chongqing,Zhejiang,692.8837,2015.385,1358.648
17,Guangdong,Guangdong,1030.401,2344.941,1030.401
18,Guangdong,Jiangsu,1030.401,2030,1297.297
19,Guangdong,Zhejiang,1030.401,1550,1358.648
20,Hebei,Anhui,499.0456,1400,855.9056
21,Hebei,Chongqing,499.0456,4000,692.8837
22,Hebei,Guangdong,499.0456,2700,1030.401
23,Hebei,Henan,499.0456,2583.333,663.8652
24,Hebei,Hubei,499.0456,600,760.3815
25,Hebei,Jiangsu,499.0456,2172,1297.297
26,Hebei,Shanghai,499.0456,3000,2306.554
27,Hebei,Sichuan,499.0456,500,777.0446
28,Hebei,Zhejiang,499.0456,533.3333,1358.648
29,Henan,Anhui,663.8652,1367.273,855.9056
30,Henan,Chongqing,663.8652,1456,692.8837
31,Henan,Guangdong,663.8652,2175.288,1030.401
32,Henan,Henan,663.8652,1176.546,663.8652
33,Henan,Hubei,663.8652,1106.4,760.3815
34,Henan,Jiangsu,663.8652,2557.419,1297.297
35,Henan,Shanghai,663.8652,1883.143,2306.554
36,Henan,Sichuan,663.8652,1400,777.0446
37,Henan,Zhejiang,663.8652,1879.577,1358.648
38,Hubei,Anhui,760.3815,1350,855.9056
39,Hubei,Chongqing,760.3815,1333.333,692.8837
40,Hubei,Guangdong,760.3815,2063.265,1030.401
41,Hubei,Henan,760.3815,1666.667,663.8652
42,Hubei,Hubei,760.3815,1388.957,760.3815
43,Hubei,Jiangsu,760.3815,1622.5,1297.297
44,Hubei,Shanghai,760.3815,1529.412,2306.554
45,Hubei,Sichuan,760.3815,2025,777.0446
46,Hubei,Zhejiang,760.3815,2113.939,1358.648
47,Jiangsu,Anhui,1297.297,1992.308,855.9056
49,Jiangsu,Guangdong,1297.297,2185,1030.401
50,Jiangsu,Henan,1297.297,2933.333,663.8652
51,Jiangsu,Hubei,1297.297,2066.667,760.3815
52,Jiangsu,Jiangsu,1297.297,1714.016,1297.297
53,Jiangsu,Shanghai,1297.297,2105.304,2306.554
54,Jiangsu,Zhejiang,1297.297,1505.918,1358.648
56,Shanghai,Shanghai,2306.554,2500,2306.554
57,Sichuan,Anhui,777.0446,2000,855.9056
58,Sichuan,Chongqing,777.0446,1294.089,692.8837
59,Sichuan,Guangdong,777.0446,1893.315,1030.401
60,Sichuan,Henan,777.0446,2050,663.8652
61,Sichuan,Hubei,777.0446,1145.455,760.3815
62,Sichuan,Jiangsu,777.0446,1239.091,1297.297
63,Sichuan,Shanghai,777.0446,1774.839,2306.554
64,Sichuan,Sichuan,777.0446,1698.768,777.0446
65,Sichuan,Zhejiang,777.0446,1677.333,1358.648
66,Zhejiang,Anhui,1358.648,3066.667,855.9056
67,Zhejiang,Chongqing,1358.648,1000,692.8837
68,Zhejiang,Guangdong,1358.648,2500,1030.401
69,Zhejiang,Henan,1358.648,2500,663.8652
70,Zhejiang,Hubei,1358.648,3900,760.3815
71,Zhejiang,Jiangsu,1358.648,2722.222,1297.297
72,Zhejiang,Shanghai,1358.648,2123.81,2306.554
73,Zhejiang,Zhejiang,1358.648,1899.935,1358.648
,,,0,0,0
,,,4000,4000,4000
