,,"Chiefs of state organs, party organizations, enterprises and institutions",Professional personnel,Office workers and related persons,Business people and service staff,"Persons engaged in farming, forestry, animal husbandry, fishery and water conservancy",Workers engaged in facilities operation of production and transportation and related persons
全国,National Average,11.60517436,7.195016256,9.785224545,14.38512369,0.608862511,20.75650928
北京,Beijing,35.55142247,29.44387307,30.32867702,65.33557199,12.03809658,52.82436367
天津,Tianjin,13.5695551,11.10424551,9.784374538,31.75086275,2.457272472,42.34559027
河北,Hebei,4.210642561,2.31269925,2.142212928,5.896329856,0.278781188,4.157627148
山西,Shanxi,4.963097658,2.2659983,1.417892671,6.690257578,0.344789694,6.039275492
内蒙古,Inner Mongolia,8.306631712,4.780032181,3.429675549,11.63821895,0.916051685,16.99020408
辽宁,Liaoning,6.062684039,2.722106035,2.273318508,8.460774667,1.155174937,8.977298522
吉林,Jilin,2.704340163,1.295536655,1.07992146,4.023213412,0.415916935,3.666289792
黑龙江,Heilongjiang,2.188684176,0.948464408,0.745712155,2.495734415,0.465781302,2.702786335
上海,Shanghai,38.14764287,29.09834976,27.00215263,62.70125974,38.61600655,67.99935295
江苏,Jiangsu,9.487793361,6.828638871,6.953106541,13.14076692,1.351033249,19.46327664
浙江,Zhejiang,10.47194177,9.873257487,12.25626317,26.35613373,3.081007782,47.73134762
安徽,Anhui,4.04857529,2.191389884,2.028017115,2.957550285,0.364124662,2.501874601
福建,Fujian,9.850799928,7.098707245,10.57079851,12.59203235,1.240843444,31.58777686
江西,Jiangxi,3.365415671,1.656473579,1.47589577,2.418810492,0.244502702,1.345006278
山东,Shandong,4.695504328,2.191306916,1.969209359,4.91201725,0.40171004,4.416524684
河南,Henan,2.753796121,1.067082309,0.742185268,2.403808245,0.0924977,1.21579458
湖北,Hubei,5.116185797,1.995807892,1.616081274,4.096393747,0.388558268,2.387324716
湖南,Hunan,2.447472883,1.470388905,1.097386176,2.579593225,0.201464823,1.3664164
广东,Guangdong,26.59978201,20.91435813,30.39021328,31.31210604,1.825290088,55.11553443
广西,Guangxi,8.874159554,2.591780237,2.497307982,7.096291796,0.301007122,4.894904705
海南,Hainan,20.60894386,9.754269712,7.77248529,14.09067793,1.561649604,22.60582893
重庆,Chongqing,8.752217623,5.367207423,5.282032257,7.949828076,0.586997533,6.335549771
四川,Sichuan,5.1175125,3.153561592,2.667575775,3.728760667,0.255483085,2.106141544
贵州,Guizhou,10.22727273,3.344370072,2.784548486,12.11981866,0.338454567,7.894514243
云南,Yunan,9.423443024,3.148627411,2.367226446,11.80175217,0.262803048,7.844995888
西藏,Tibet,12.40827218,12.51318565,4.868189807,50.7545406,0.556828162,34.10697612
陕西,Shaanxi,8.204807303,3.494098335,2.938018801,7.239743696,0.130272981,4.530162484
甘肃,Gansu,7.737039926,2.975903309,1.849693784,7.849632308,0.156198319,5.837236716
青海,Qinghai,20.01514865,5.755428782,3.732981994,21.55594847,0.498203875,16.97308254
宁夏,Ningxia,13.01182894,5.017121924,4.96634153,16.96738983,1.155941335,14.70546442
新疆,Xinjiang,11.18685456,5.435880723,4.532893468,23.56362284,3.003715339,31.14223241
