,,Seeking for Work or Business Opportunities,Relocation for Work,Study or Training,Trailing Family Member,Marriage,Other
Beijing,both,73.90414666,3.636195614,4.655085014,8.029673507,2.919654149,6.855245053
Tianjin,both,78.83035974,1.939929153,3.677217557,6.2275092,1.740230072,7.584754276
Hebei,both,51.81682854,5.15301426,9.426677953,13.63121524,6.585732053,13.38653195
Shanxi,both,59.25929504,4.8422535,5.329666732,17.91246312,5.369595762,7.286725852
Inner Mongolia,both,64.33140998,4.854446915,3.23664416,16.21327244,3.993405259,7.370821247
Liaoning,both,55.47564273,2.862028625,8.305821901,14.24616435,4.522845964,14.58749643
Jilin,both,40.96985974,3.015559727,21.54331116,14.52730455,6.46551252,13.47845231
Heilongjiang,both,43.68943734,1.979672075,20.10675419,14.99140003,7.269592829,11.96314354
Shanghai,both,78.3185474,1.670212766,1.999922023,8.447632839,2.141595188,7.422089785
Jiangsu,both,78.49837917,1.873468764,3.031661877,6.848945279,2.993365318,6.75417959
Zhejiang,both,83.83977743,0.826219469,1.25169391,10.13443277,1.111461905,2.836414516
Anhui,both,52.23544629,5.535477091,9.077123141,8.893141528,13.79541523,10.46339672
Fujian,both,80.49597529,0.963904412,2.698626345,9.923446808,1.629032998,4.289014146
Jiangxi,both,41.03630018,3.40582923,31.65522667,7.282037264,7.101519814,9.519086845
Shandong,both,52.46448632,5.828484023,11.87180143,12.62884685,4.468487086,12.73789429
Henan,both,47.29638899,5.140728281,15.94841708,11.96198833,7.45946019,12.19301712
Hubei,both,45.55253884,3.474307723,21.1944018,10.74148688,6.933126285,12.10413847
Hunan,both,47.25675948,3.866440822,19.55496826,12.53231115,8.002267643,8.787252649
Guangdong,both,85.77101448,1.88093314,1.068989101,6.504897458,0.735526871,4.038638954
Guangxi,both,60.8336125,3.715345341,6.898382763,13.37766659,6.050919095,9.124073718
Hainan,both,54.45202162,5.194719124,9.805034471,17.02808843,2.924397966,10.59573839
Chongqing,both,46.55488714,4.901427643,19.8993011,9.155686557,6.323992746,13.16470481
Sichuan,both,48.28424922,6.355193683,15.68210475,7.447901022,7.438331415,14.79221991
Guizhou,both,61.34228751,3.63044908,4.320484636,13.73494355,7.655765668,9.316069562
Yunan,both,68.0970184,3.337999546,4.173793356,14.04319602,3.641182032,6.706810648
Tibet,both,82.71522098,2.756569522,2.189538335,5.65822165,0.770751347,5.909698168
Shaanxi,both,51.31049856,7.889572869,20.38277355,10.33743106,2.184814268,7.894909695
Gansu,both,51.24955814,9.082948851,10.06808631,15.88950011,3.718524235,9.991382358
Qinghai,both,65.05158039,3.773140515,3.371174651,15.24518348,2.955077174,9.603843799
Ningxia,both,57.76670439,3.503858044,4.452966609,21.71360642,2.452157817,10.11070672
Xinjiang,both,60.82013036,2.664985527,3.737353779,18.43119329,2.177555561,12.16878149
National Average,both,74.67912261,2.477944536,4.39623432,9.285989923,2.55954443,6.601164183
Beijing,males,78.9360754,3.600340276,4.34769314,6.637630821,0.825809756,5.652450602
Tianjin,males,84.09252654,1.950374807,3.106512431,4.213689514,0.416295239,6.220601467
Hebei,males,59.29490673,6.551840341,8.793747314,10.63790872,2.059507748,12.66208915
Shanxi,males,71.02369802,6.28359438,4.937406942,10.02287454,0.99882716,6.733598955
Inner Mongolia,males,74.42895198,6.008381262,2.862852653,9.17211612,1.140711939,6.386986046
