case,home,residence,home_locals,migrants,residence_locals
1,Anhui,Anhui,407.0771,937.9083,407.0771
2,Anhui,Chongqing,407.0771,900,428.18
3,Anhui,Guangdong,407.0771,1134.889,594.4907
4,Anhui,Henan,407.0771,577.2727,336.096
5,Anhui,Hubei,407.0771,573.3333,405.5831
6,Anhui,Jiangsu,407.0771,1339.291,613.8135
7,Anhui,Shanghai,407.0771,1458.839,1261.265
8,Anhui,Zhejiang,407.0771,1233.78,728.6952
9,Chongqing,Chongqing,428.18,1222.222,428.18
10,Chongqing,Guangdong,428.18,1854.444,594.4907
11,Chongqing,Henan,428.18,1250,336.096
12,Chongqing,Hubei,428.18,993,405.5831
13,Chongqing,Jiangsu,428.18,1160,613.8135
14,Chongqing,Shanghai,428.18,1150,1261.265
15,Chongqing,Sichuan,428.18,1494.545,422.294
16,Chongqing,Zhejiang,428.18,3040,728.6952
17,Guangdong,Guangdong,594.4907,1401.963,594.4907
19,Guangdong,Zhejiang,594.4907,1600,728.6952
20,Hebei,Anhui,132.471,1000,407.0771
21,Hebei,Chongqing,132.471,666.6667,428.18
22,Hebei,Guangdong,132.471,1470,594.4907
23,Hebei,Henan,132.471,1166.667,336.096
24,Hebei,Hubei,132.471,400,405.5831
25,Hebei,Jiangsu,132.471,1200,613.8135
27,Hebei,Sichuan,132.471,0,422.294
28,Hebei,Zhejiang,132.471,1025,728.6952
29,Henan,Anhui,336.096,802,407.0771
30,Henan,Chongqing,336.096,1000,428.18
31,Henan,Guangdong,336.096,1338.345,594.4907
32,Henan,Henan,336.096,949.8716,336.096
33,Henan,Hubei,336.096,685,405.5831
34,Henan,Jiangsu,336.096,1419.231,613.8135
35,Henan,Shanghai,336.096,1270.741,1261.265
37,Henan,Zhejiang,336.096,757.9412,728.6952
38,Hubei,Anhui,405.5831,1866.667,407.0771
39,Hubei,Chongqing,405.5831,1000,428.18
40,Hubei,Guangdong,405.5831,1848.294,594.4907
41,Hubei,Henan,405.5831,1133.333,336.096
42,Hubei,Hubei,405.5831,908.8,405.5831
43,Hubei,Jiangsu,405.5831,475,613.8135
44,Hubei,Shanghai,405.5831,1600,1261.265
45,Hubei,Sichuan,405.5831,1400,422.294
46,Hubei,Zhejiang,405.5831,1480.357,728.6952
47,Jiangsu,Anhui,613.8135,1642.857,407.0771
48,Jiangsu,Chongqing,613.8135,2000,428.18
49,Jiangsu,Guangdong,613.8135,973.3333,594.4907
50,Jiangsu,Henan,613.8135,5000,336.096
52,Jiangsu,Jiangsu,613.8135,1329.302,613.8135
53,Jiangsu,Shanghai,613.8135,1566.789,1261.265
54,Jiangsu,Zhejiang,613.8135,1005.652,728.6952
55,Shanghai,Guangdong,1261.265,3000,594.4907
56,Shanghai,Shanghai,1261.265,1000,1261.265
57,Sichuan,Anhui,422.294,950,407.0771
58,Sichuan,Chongqing,422.294,917.7612,428.18
59,Sichuan,Guangdong,422.294,1529.623,594.4907
60,Sichuan,Henan,422.294,1100,336.096
61,Sichuan,Hubei,422.294,969.1667,405.5831
62,Sichuan,Jiangsu,422.294,1477.778,613.8135
63,Sichuan,Shanghai,422.294,1106,1261.265
64,Sichuan,Sichuan,422.294,1269.579,422.294
65,Sichuan,Zhejiang,422.294,992.4138,728.6952
66,Zhejiang,Anhui,728.6952,1000,407.0771
67,Zhejiang,Chongqing,728.6952,1000,428.18
68,Zhejiang,Guangdong,728.6952,1750,594.4907
69,Zhejiang,Henan,728.6952,2500,336.096
70,Zhejiang,Hubei,728.6952,4500,405.5831
71,Zhejiang,Jiangsu,728.6952,1550,613.8135
72,Zhejiang,Shanghai,728.6952,1550,1261.265
73,Zhejiang,Zhejiang,728.6952,1462.097,728.6952
,,,0,0,0
,,,5000,5000,5000
