case,home,residence,home_locals,migrants,residence_locals
2,Anhui,Chongqing,639.6624,900,560.5446
3,Anhui,Guangdong,639.6624,1503.2,819.0377
4,Anhui,Henan,639.6624,614.6341,502.8247
5,Anhui,Hubei,639.6624,848.3333,585.8318
6,Anhui,Jiangsu,639.6624,1530.762,961.0488
7,Anhui,Shanghai,639.6624,1606.033,1790.372
8,Anhui,Zhejiang,639.6624,1441.026,1049.245
10,Chongqing,Guangdong,560.5446,1595.897,819.0377
11,Chongqing,Henan,560.5446,1000,502.8247
12,Chongqing,Hubei,560.5446,1190.8,585.8318
13,Chongqing,Jiangsu,560.5446,1358.333,961.0488
14,Chongqing,Shanghai,560.5446,1320,1790.372
15,Chongqing,Sichuan,560.5446,1613.03,601.7749
16,Chongqing,Zhejiang,560.5446,2256.471,1049.245
18,Guangdong,Jiangsu,819.0377,2030,961.0488
19,Guangdong,Zhejiang,819.0377,1566.667,1049.245
20,Hebei,Anhui,319.3486,1280,639.6624
21,Hebei,Chongqing,319.3486,2000,560.5446
22,Hebei,Guangdong,319.3486,2085,819.0377
23,Hebei,Henan,319.3486,2111.111,502.8247
24,Hebei,Hubei,319.3486,500,585.8318
25,Hebei,Jiangsu,319.3486,1686,961.0488
26,Hebei,Shanghai,319.3486,3000,1790.372
27,Hebei,Sichuan,319.3486,333.3333,601.7749
28,Hebei,Zhejiang,319.3486,814.2857,1049.245
29,Henan,Anhui,502.8247,1138.108,639.6624
30,Henan,Chongqing,502.8247,1342,560.5446
31,Henan,Guangdong,502.8247,1937.333,819.0377
33,Henan,Hubei,502.8247,930,585.8318
34,Henan,Jiangsu,502.8247,2221.136,961.0488
35,Henan,Shanghai,502.8247,1616.452,1790.372
36,Henan,Sichuan,502.8247,933.3333,601.7749
37,Henan,Zhejiang,502.8247,1516.381,1049.245
38,Hubei,Anhui,585.8318,1522.222,639.6624
39,Hubei,Chongqing,585.8318,1250,560.5446
40,Hubei,Guangdong,585.8318,1981.448,819.0377
41,Hubei,Henan,585.8318,1488.889,502.8247
43,Hubei,Jiangsu,585.8318,1393,961.0488
44,Hubei,Shanghai,585.8318,1560,1790.372
45,Hubei,Sichuan,585.8318,1677.778,601.7749
46,Hubei,Zhejiang,585.8318,1823.115,1049.245
47,Jiangsu,Anhui,961.0488,1870,639.6624
48,Jiangsu,Chongqing,961.0488,1333.333,560.5446
49,Jiangsu,Guangdong,961.0488,1781.111,819.0377
50,Jiangsu,Henan,961.0488,3450,502.8247
51,Jiangsu,Hubei,961.0488,2066.667,585.8318
53,Jiangsu,Shanghai,961.0488,1867.66,1790.372
54,Jiangsu,Zhejiang,961.0488,1263.684,1049.245
55,Shanghai,Guangdong,1790.372,3000,819.0377
57,Sichuan,Anhui,601.7749,1580,639.6624
58,Sichuan,Chongqing,601.7749,1133.49,560.5446
59,Sichuan,Guangdong,601.7749,1760.379,819.0377
60,Sichuan,Henan,601.7749,1733.333,502.8247
61,Sichuan,Hubei,601.7749,1053.478,585.8318
62,Sichuan,Jiangsu,601.7749,1346.5,961.0488
63,Sichuan,Shanghai,601.7749,1476.25,1790.372
65,Sichuan,Zhejiang,601.7749,1340.678,1049.245
66,Zhejiang,Anhui,1049.245,2240,639.6624
67,Zhejiang,Chongqing,1049.245,1000,560.5446
68,Zhejiang,Guangdong,1049.245,2200,819.0377
69,Zhejiang,Henan,1049.245,2500,502.8247
70,Zhejiang,Hubei,1049.245,4166.667,585.8318
71,Zhejiang,Jiangsu,1049.245,2509.091,961.0488
72,Zhejiang,Shanghai,1049.245,1858.974,1790.372
,,,0,0,0
,,,4167,4167,4167
