case,home,residence,home_locals,migrants,residence_locals
1,Anhui,Anhui,1010.494,875,1010.494
4,Anhui,Henan,1010.494,1000,788.5586
6,Anhui,Jiangsu,1010.494,1610,1247.603
7,Anhui,Shanghai,1010.494,1750,1744.824
8,Anhui,Zhejiang,1010.494,1766.667,1434.898
9,Chongqing,Chongqing,927.9487,2500,927.9487
10,Chongqing,Guangdong,927.9487,3000,1688.93
17,Guangdong,Guangdong,1688.93,1100,1688.93
25,Hebei,Jiangsu,1069.343,1200,1247.603
26,Hebei,Shanghai,1069.343,3000,1744.824
31,Henan,Guangdong,788.5586,1433.333,1688.93
32,Henan,Henan,788.5586,533.3333,788.5586
35,Henan,Shanghai,788.5586,5000,1744.824
40,Hubei,Guangdong,953.4971,2112.5,1688.93
42,Hubei,Hubei,953.4971,1750,953.4971
47,Jiangsu,Anhui,1247.603,3500,1010.494
52,Jiangsu,Jiangsu,1247.603,2400,1247.603
53,Jiangsu,Shanghai,1247.603,2300,1744.824
59,Sichuan,Guangdong,1000.112,3300,1688.93
64,Sichuan,Sichuan,1000.112,933.3333,1000.112
72,Zhejiang,Shanghai,1434.898,2500,1744.824
73,Zhejiang,Zhejiang,1434.898,1000,1434.898
,,,0,0,0
,,,5000,5000,5000
