,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员
全国,National Average,11.60517436,7.195016256,9.785224545,14.38512369,0.608862511,20.75650928,147228,351904,302675,1664717,210456,3339252,1268641,4890941,3093184,11572490,34565439,16087734
北京,Beijing,35.55142247,29.44387307,30.32867702,65.33557199,12.03809658,52.82436367,10322,58689,45833,215970,6838,111218,29034,199325,151121,330555,56803,210543
天津,Tianjin,13.5695551,11.10424551,9.784374538,31.75086275,2.457272472,42.34559027,2742,8626,3975,38182,2795,74820,20207,77682,40626,120255,113744,176689
河北,Hebei,4.210642561,2.31269925,2.142212928,5.896329856,0.278781188,4.157627148,2669,5390,2684,26081,6641,31410,63387,233061,125291,442326,2382155,755479
山西,Shanxi,4.963097658,2.2659983,1.417892671,6.690257578,0.344789694,6.039275492,1392,3092,1250,18566,2918,21226,28047,136452,88159,277508,846313,351466
内蒙古,Inner Mongolia,8.306631712,4.780032181,3.429675549,11.63821895,0.916051685,16.99020408,1711,4872,2130,24567,5885,41626,20598,101924,62105,211089,642431,245000
辽宁,Liaoning,6.062684039,2.722106035,2.273318508,8.460774667,1.155174937,8.977298522,3006,5714,2709,37748,11997,43108,49582,209911,119165,446153,1038544,480189
吉林,Jilin,2.704340163,1.295536655,1.07992146,4.023213412,0.415916935,3.666289792,491,1377,594,9047,3525,6453,18156,106288,55004,224870,847525,176009
黑龙江,Heilongjiang,2.188684176,0.948464408,0.745712155,2.495734415,0.465781302,2.702786335,670,1340,530,7650,4779,7861,30612,141281,71073,306523,1026018,290848
上海,Shanghai,38.14764287,29.09834976,27.00215263,62.70125974,38.61600655,67.99935295,25166,54750,45534,224078,14615,294257,65970,188155,168631,357374,37847,432735
