,,Region,2000,2010,difference,percentage change
全国,National Average,,78752 ,170614 ,91862 ,117 
北京,Beijing,East,2603 ,8947 ,6344 ,244 
天津,Tianjin,East,791 ,3891 ,3100 ,392 
河北,Hebei,East,2131 ,4125 ,1994 ,94 
山西,Shanxi,Middle,1459 ,3149 ,1690 ,116 
内蒙古,Inner Mongolia,West,1773 ,4520 ,2747 ,155 
辽宁,Liaoning,East,2306 ,5391 ,3085 ,134 
吉林,Jilin,East,945 ,2029 ,1084 ,115 
黑龙江,Heilongjiang,East,1794 ,2813 ,1019 ,57 
上海,Shanghai,East,4360 ,11002 ,6642 ,152 
江苏,Jiangsu,East,5007 ,13513 ,8506 ,170 
浙江,Zhejiang,East,5426 ,15272 ,9846 ,181 
安徽,Anhui,Middle,1184 ,3611 ,2427 ,205 
福建,Fujian,East,3807 ,7836 ,4029 ,106 
江西,Jiangxi,Middle,1008 ,2172 ,1164 ,115 
山东,Shandong,East,2687 ,6935 ,4248 ,158 
河南,Henan,Middle,2012 ,4601 ,2589 ,129 
湖北,Hubei,Middle,2239 ,4826 ,2587 ,116 
湖南,Hunan,Middle,1770 ,3655 ,1885 ,106 
广东,Guangdong,East,21054 ,31324 ,10270 ,49 
广西,Guangxi,West,1843 ,3727 ,1884 ,102 
海南,Hainan,East,654 ,1288 ,634 ,97 
重庆,Chongqing,West,884 ,2819 ,1935 ,219 
四川,Sichuan,West,2748 ,6870 ,4122 ,150 
贵州,Guizhou,West,1254 ,2503 ,1249 ,100 
云南,Yunan,West,2512 ,3831 ,1319 ,53 
西藏,Tibet,West,151 ,262 ,111 ,74 
陕西,Shaanxi,West,1041 ,3272 ,2231 ,214 
甘肃,Gansu,West,717 ,1551 ,834 ,116 
青海,Qinghai,West,308 ,779 ,471 ,153 
宁夏,Ningxia,West,367 ,934 ,567 ,154 
新疆,Xinjiang,West,1917 ,2986 ,1069 ,56 
